,title,year,budget,director,actor,companies,genres,plot_keywords,genresOneHot,language,country,score
26,Captain America: Civil War,2016.0,1.0,0.67,0.664,0.685,0.621,civil war|war|marvel comic|sequel|superhero|based on comic book|imax|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe|3d,"[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",Română,United States of America,7.1
27,Battleship,2012.0,0.8032786885245902,0.637,0.614,0.613,0.621,fight|u.s. navy|mind reading|hong kong|soccer|scientist|fictional war|naval|armada|battleship|naval combat|jds myoko|lost communication|taser|buoy|communications expert|joint chiefs of staff|crash landing|jet fighter pilot|navy lieutenant|permission to marry|uss john paul jones|based on board game|aftercreditsstinger|mighty mo|uss missouri,"[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.5
28,Jurassic World,2015.0,0.5355484101464809,0.665,0.664,0.644,0.621,monster|dna|tyrannosaurus rex|velociraptor|island|sequel|suspense|disaster|escape|dinosaur|amusement park|animal attack|theme park|jurassic park|3d|animal horror,"[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.5
29,Skyfall,2012.0,0.7685631629701061,0.691,0.643,0.624,0.622,spy|secret agent|sociopath|killer|art gallery|british secret service|istanbul turkey|imax|uzi|booby trap|impersonating a police officer|macao,"[ 1.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United Kingdom,6.9
30,Spider-Man 2,2004.0,1.0,0.664,0.651,0.618,0.621,dual identity|love of one's life|pizza boy|marvel comic|sequel|superhero|doctor|scientist|tentacle|death|super villain,"[ 1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.7
31,Iron Man 3,2013.0,0.7834645669291339,0.7,0.665,0.702,0.621,terrorist|war on terror|tennessee|malibu|marvel comic|superhero|based on comic book|tony stark|iron man|aftercreditsstinger|marvel cinematic universe|mandarin|3d|war machine|iron patriot|extremis,"[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,China,6.8
32,Alice in Wonderland,2010.0,0.7687861271676301,0.673,0.652,0.624,0.624,based on novel|fictional place|queen|fantasy|alice in wonderland|fantasy world|3d,"[ 0.  1.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.4
33,X-Men: The Last Stand,2006.0,0.7772001485332343,0.617,0.653,0.627,0.621,mutant|marvel comic|based on comic book|superhuman|beast|cyclops|aftercreditsstinger,"[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Canada,6.3
34,Monsters University,2013.0,0.7834645669291339,0.7,0.641,0.679,0.641,monster|dormitory|games|animation|best friend|university|scary|aftercreditsstinger,"[ 0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.0
35,Transformers: Revenge of the Fallen,2009.0,0.5995995995995996,0.64,0.601,0.629,0.621,egypt|sun|chaos|symbol|artifact|transformers|tank|robot|imax|duringcreditsstinger,"[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.0
36,Transformers: Age of Extinction,2014.0,0.8393896807869906,0.64,0.618,0.621,0.621,sequel|alien|transformers|giant robot|robot|imax|transforming robot,"[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.8
37,Oz: The Great and Powerful,2013.0,0.7834645669291339,0.664,0.619,0.627,0.624,circus|witch|magic|hope|illusion|lost|magic trick|wizard|3d,"[ 0.  1.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.7
38,The Amazing Spider-Man 2,2014.0,0.7992371009837382,0.673,0.654,0.633,0.621,obsession|marvel comic|sequel|based on comic book|electrocution|medical experiment|electricity|super powers,"[ 1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.5
39,TRON: Legacy,2010.0,0.653179190751445,0.635,0.627,0.63,0.621,artificial intelligence|secret identity|computer program|dystopia|computer|deception|duel|motorcycle|neon light|autocracy,"[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.3
40,Cars 2,2011.0,0.5262285157792225,0.685,0.611,0.679,0.631,car race|sequel|comedy|anthropomorphism|best friend|duringcreditsstinger,"[ 0.  1.  0.  0.  0.  0.  0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.8
41,Green Lantern,2011.0,0.5262285157792225,0.625,0.628,0.631,0.622,dc comics|transformation|superhero|alien|alien infection|magical object|protector|super powers|origin|3d,"[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.1
42,Toy Story 3,2010.0,0.7687861271676301,0.76,0.663,0.679,0.632,hostage|college|toy|barbie|animation|escape|day care|teddy bear|duringcreditsstinger|toy comes to life|personification|inanimate objects coming to life|toy story,"[ 0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.6
43,Terminator Salvation,2009.0,0.7997997997997998,0.588,0.635,0.614,0.62,saving the world|artificial intelligence|prophecy|san francisco|cyborg|killer robot|gas station|post-apocalyptic|dystopia|army|firearm|wartime|los angeles,"[ 1.  0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Germany,5.9
44,Furious 7,2015.0,0.6784565916398714,0.696,0.622,0.661,0.617,car race|speed|revenge|suspense|car|race|muscle car,"[ 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Japan,7.3
45,World War Z,2013.0,0.7834645669291339,0.676,0.656,0.653,0.623,dystopia|apocalypse|zombie|nuclear weapons|multiple perspectives|zombie apocalypse,"[ 1.  0.  0.  1.  0.  1.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.7
46,X-Men: Days of Future Past,2014.0,1.0,0.665,0.666,0.648,0.621,1970s|mutant|time travel|marvel comic|based on comic book|superhuman|storm|beast|aftercreditsstinger|changing the past or future,"[ 1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United Kingdom,7.5
47,Star Trek Into Darkness,2013.0,0.7440944881889764,0.698,0.673,0.665,0.621,spacecraft|friendship|sequel|futuristic|space|alien|imax|space opera|terrorist bombing|3d,"[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.4
48,Jack the Giant Slayer,2013.0,0.7637795275590551,0.665,0.616,0.631,0.62,based on fairy tale|giant,"[ 1.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.5
49,The Great Gatsby,2013.0,0.4094488188976378,0.693,0.704,0.684,0.657,based on novel|infidelity|obsession|hope|3d,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.3
50,Prince of Persia: The Sands of Time,2010.0,0.5761078998073218,0.665,0.642,0.637,0.627,persia|sandstorm|brother against brother|armageddon|regent|based on video game,"[ 1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.2
51,Pacific Rim,2013.0,0.7047244094488189,0.67,0.618,0.652,0.621,dystopia|giant robot|giant monster|apocalypse|imax|duringcreditsstinger|3d,"[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.7
52,Transformers: Dark of the Moon,2011.0,0.5130681967730898,0.64,0.602,0.62,0.621,moon|spacecraft|traitor|bodyguard|alien planet|based on cartoon|transformers|giant robot|sabotage|word domination|commando|duringcreditsstinger,"[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.1
53,Indiana Jones and the Kingdom of the Crystal Skull,2008.0,0.8220403078702674,0.697,0.657,0.664,0.622,saving the world|riddle|whip|treasure|mexico city|leather jacket|machinegun|alien phenomenons|maya civilization|peru|treasure hunt|nuclear explosion|refrigerator|archaeologist|indiana jones|archeology ,"[ 1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.7
54,The Good Dinosaur,2015.0,0.62486602357985,0.66,0.638,0.679,0.636,tyrannosaurus rex|friends|alternate history|dinosaur|fear|storm|nature|human|journey,"[ 0.  1.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.6
55,Brave,2012.0,0.7107039537126326,0.67,0.658,0.679,0.626,scotland|rebel|bravery|kingdom|archer|wish|bear|scot|rebellious daughter|turns into animal|archery|ruins|aftercreditsstinger|peace offering|woman director|courage|3d,"[ 1.  1.  1.  0.  0.  0.  0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.7
56,Star Trek Beyond,2016.0,0.7363083164300203,0.66,0.652,0.652,0.621,sequel|stranded|hatred|space opera,"[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.6
57,WALL·E,2008.0,0.7997953463540508,0.708,0.743,0.713,0.641,romantic comedy,"[ 0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.8
58,Rush Hour 3,2007.0,0.4666399986666,0.617,0.625,0.622,0.626,ambassador,"[ 1.  0.  0.  0.  1.  0.  1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",Latin,United States of America,6.1
59,2012,2009.0,0.7997997997997998,0.613,0.62,0.607,0.621,civilization|natural disaster|end of the world|disaster|apocalypse|destruction|volcanic eruption|mayan|ark|solar|destruction  of mankind,"[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Canada,5.6
60,A Christmas Carol,2009.0,0.7997997997997998,0.692,0.642,0.639,0.662,holiday|based on novel|victorian england|money|christmas eve|scrooge|christmas carol|ghost|lesson|charles dickens|christmas,"[ 0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.6
61,Jupiter Ascending,2015.0,0.6284387388352983,0.647,0.614,0.62,0.621,jupiter|space|woman director|3d|interspecies romance,"[ 1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.2
62,The Legend of Tarzan,2016.0,0.716024340770791,0.677,0.638,0.599,0.622,africa|feral child|tarzan|jungle|animal attack,"[ 1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Canada,5.5
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005.0,0.8689638437272507,0.675,0.648,0.621,0.624,saving the world|witch|based on novel|brother sister relationship|self sacrifice|winter|cupboard|beaver|lion|fairy-tale figure|battle|narnia|fantasy world|duringcreditsstinger,"[ 0.  1.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United Kingdom,6.7
64,X-Men: Apocalypse,2016.0,0.7079107505070994,0.665,0.664,0.652,0.62,mutant|supernatural powers|marvel comic|superhero|based on comic book|superhuman|apocalypse|superhero team|world domination|aftercreditsstinger|1980s,"[ 0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.4
65,The Dark Knight,2008.0,0.8220403078702674,0.78,0.662,0.676,0.639,dc comics|crime fighter|secret identity|scarecrow|sadism|chaos|gotham city|vigilante|joker|superhero|based on comic book|tragic hero|organized crime|criminal mastermind|district attorney|imax|super villain|super powers|batman,"[ 1.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United Kingdom,8.2
66,Up,2009.0,0.6996996996996997,0.773,0.738,0.722,0.631,age difference|central and south america|balloon|animation|floating in the air|duringcreditsstinger|exploring,"[ 0.  1.  0.  0.  0.  0.  0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.7
67,Monsters vs Aliens,2009.0,0.6996996996996997,0.6,0.597,0.659,0.632,alien|giant robot|duringcreditsstinger,"[ 0.  1.  0.  1.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.0
68,Iron Man,2008.0,0.6218356542243182,0.664,0.67,0.702,0.621,middle east|arms dealer|malibu|marvel comic|superhero|based on comic book|tony stark|iron man|aftercreditsstinger|marvel cinematic universe|counter terrorism|agent coulson,"[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.4
69,Hugo,2011.0,0.4472666017424262,0.737,0.653,0.636,0.641,library|clock|film director|key|toy|boy|love|orphan|robot|automaton|hiding|filmmaking|leg brace|doberman|3d,"[ 0.  1.  0.  0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,France,7.0
70,Wild Wild West,1999.0,1.0,0.622,0.649,0.544,0.631,steampunk|based on tv series|steam locomotive|drag,"[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.1
71,The Mummy: Tomb of the Dragon Emperor,2008.0,0.6440806157405348,0.552,0.588,0.603,0.621,,"[ 1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Germany,5.2
72,Suicide Squad,2016.0,0.6957403651115619,0.643,0.631,0.637,0.626,dc comics|shared universe|anti hero|secret mission|villain|superhero|supervillain|dc extended universe,"[ 1.  1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.9
73,Evan Almighty,2007.0,0.5833124989582813,0.614,0.623,0.613,0.62,father son relationship|daily life|married couple|support|father|marriage|faith|baustelle|rescue|animal|nature|duringcreditsstinger|noah's ark,"[ 0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.3
74,Edge of Tomorrow,2014.0,0.710901425416583,0.68,0.658,0.667,0.619,deja vu|time warp|restart|dystopia|war|alien|military officer|soldier|alien invasion|exoskeleton,"[ 1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Australia,7.6
75,Waterworld,1995.0,1.0,0.637,0.608,0.619,0.622,ocean|tattoo|mutant|water|dystopia|doomsday,"[ 1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.9
76,G.I. Joe: The Rise of Cobra,2009.0,0.6996996996996997,0.587,0.605,0.611,0.622,terrorist|secret|hostage|technology|warhead|government|president|revenge|murder|attack|explosion|scientist|lasers|evil|cobra,"[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Czech Republic,5.6
77,Inside Out,2015.0,0.62486602357985,0.773,0.727,0.679,0.642,dream|cartoon|imaginary friend|animation|family|moving|kids|unicorn|duringcreditsstinger|3d|emotions,"[ 0.  0.  0.  0.  0.  1.  0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,8.0
78,The Jungle Book,2016.0,0.6957403651115619,0.664,0.668,0.641,0.635,based on novel|snake|wolf|elephant|tiger|feral child|panther|remake|bear|jungle|talking animal|orphan|animal|talking to animals,"[ 0.  1.  1.  0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United Kingdom,6.7
79,Iron Man 2,2010.0,0.7687861271676301,0.664,0.665,0.702,0.621,malibu|marvel comic|superhero|based on comic book|revenge|aftercreditsstinger|marvel cinematic universe,"[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.6
80,Snow White and the Huntsman,2012.0,0.6528447444551592,0.58,0.629,0.625,0.638,queen|magic|fairy tale|immortality|forest|deception|woman|eternal youth|snow white|evil queen|evil stepmother|imprisoned|sorceress,"[ 0.  1.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.8
81,Maleficent,2014.0,0.7189319413772335,0.7,0.658,0.636,0.626,fairy tale|villain|sleeping beauty|dark fantasy|based on fairy tale|adaptation|retelling|literary adaptation|3d,"[ 1.  1.  1.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.0
82,Dawn of the Planet of the Apes,2014.0,0.6787793615739811,0.68,0.655,0.645,0.632,leader|colony|post-apocalyptic|dystopia|forest|sequel|woods|ape|scientist|monkey|medical research|animal attack|plague|3d,"[ 1.  0.  0.  1.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.3
83,47 Ronin,2013.0,0.6850393700787402,0.59,0.613,0.587,0.633,japan|suicide|samurai|based on true story|samurai sword|ronin|shogun|half breed|3d,"[ 1.  1.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.9
